entity_id,early_rate,total_txs
PKdLMugp1Mf88Ji1GkdqRDBewaUh2cqg79CBEo6eJoQ,0,15
PAWsME7oYbjt5TRNc11mBa33JhKnQr9AYherdr9YAZ6,0,15
Tri1F8B6YtjkBztGCwBNSLEZib1EAqMUEUM7dTT7ZG3,0,15
ANC1u9sY36q3mi2MyVhtz71un8yLgTsFBUuyLcSPzKsk,0,15
G1bLKfyNm7zsmmYEL9dyxBvMtxpFcwy2s84bHDj2ZFUY,0,45
5LNEDitSMhApT2uFnmtN7FmjCiGuatpnb2uU4f3shrk,0,30
CfgRXmp1LEYr97EaT2RyoL2cSvtWgJh52Bes89RxVSoW,0,15
5ejbTALcBsKQ7Cj1iSuu2mY5jqbYHqh9gF5ERXLiYj1z,0,31
FFevTkywysWf8PJvH4DZkEp4v9ks9HJPJhZWbhhJiYnr,0,15
FSyAsxcE7g8pSSEu5nx7Hkz44rMZiYio5Wz8Lszh3Nbi,0,30
orbit1bWKxnECKLqjhm5rybTiEC2GEYbecyebgEfM5q,0,15
8GLRbAstsabZuZUx73AoyfGi1FRCWSUhRgMugFyofEz7,0,30
JD549HsbJHeEKKUrKgg4Fj2iyv2RGjsV7NTZjZUrHybB,0,15
8Yq98CFAorqAc3CN7XtMVgKLrBc78wsBvjhAbFr4sNQ5,0,15
CG4tRANBKrzUmpv93V5sgftjQznBdiJsc2yPCzZWWuS9,0,15
8nbE53mcKhy74HLiGZ1q5HRocwiCvgh49csSaHSdtukr,0,15
HzF7Kov41YJvKNkVEepUByEP5NKG45NJTc63JUDxT7tE,0,15
MicoB9cA9R6jsicdhzWFjwd9HMkV8FA4o3WxYU6Z2yz,0,15
Atom7LRkdXj6MBoWJPgjaetrCMrgB9nnkQBYXTWE8Z3S,0,15
HcZvwZ83PfjrQDiq3GLHxisTs17aGURs6bJ2LwtmL4qv,0,15
GQiWnDYrzHMALWG9avt5FCu1wisAQHjGY5ve7GMBiPEe,0,15
43Am3PKFeo9cACpqYL5Sk95rpVdxLw3Mc22PqRqZXEW2,0,61
spur5CDwBvTZszvy1ozGjRc1x2TuDWo3VF4jrq7zgvD,0,30
MBVyz9s72WSfUmbr1S8fgHjDJQkPs1Q4Wxi6A2Mees9,0,15
ETuPS3kRfLufz5VSYN2ZrePoEVSZSpgVPKz3MUZpYe3x,0,15
DZKTNGR3r4Akj3G42ReZatKhkmgEXoZjk5Ed2tFwRyqm,0,16
8T8AJfUCXwPFwEMmjca8gCRSktPrqbUBVa6ggNyhLhFJ,0,30
q9XWcZ7T1wP4bW9SB4XgNNwjnFEJ982nE8aVbbNuwot,0,30
2gDeeRa3mwPPtw1CMWPkEhRWo9v5izNBBfEXanr8uibX,0,60
8j7RdaofeR9jaXWqYTubqooHpcajP7EfhWbR4UKUB4fF,0,15
AWZhUiQjrjtxL8MEMWsCFbMausFQKkdTnDsFW2i411hN,0,15
NdMV1C3XMCRqSBwBtNmoUNnKctYh95Ug4xb6FSTcAWr,0,15
BM2vE2QqkB9fGtC34WPtM8drbgta13SBkhRq6dRG9J4J,0,15
