entity_id,toxic_score
CwyVpfmfSiMeCexi3JgUNvaiDfYN14cLDjzT99zcBuD2,16.635532333438686
B94PGWcxE9iEDov8sZobTkqEY96Yb5gfcsYWSWpQxh6S,16.635532333438686
UMi1r5J3SagSu4HC3waB3YFzbXi82rRSScgW2e8NTfr,16.635532333438686
uxqVAFQfox97HazsPtkKiwhypQH6jEGXkQBHDtXshrk,16.635532333438686
6y7V8dL673XFzm9QyC5vvh3itWkp7wztahBd2yDqsyrK,16.506455291163544
HM1KjNaXa4w8K4gCXbieoMh5gUTNeUhg9fvdXMKeBW3L,16.3773782488884
4QNekaDqrLmUENqkVhGCJrgHziPxkX9kridbKwunx9su,16.3773782488884
KAoSp3EudGqUBXv46tQoDwbZxSm3iXa9wM2aF4ySbJJ,16.3773782488884
6yFGGAgYpBxgYPuHW4rv7hJmhKrUiXKyHkpVGaYtKrwE,16.3773782488884
FZ4MT1HYJHd9GK8D5mJ9f3r7irLaDL5NxBNLjGqrLqs9,16.24830120661326
4mzLWNgBX67zVwTykNnq96Z6KQLc8UyV5Q35EfVCDifC,16.24830120661326
8cqck84coxk8TGXYBD95QosKCEA6fKwXLevcEv3oGmu8,16.24830120661326
G1bLKfyNm7zsmmYEL9dyxBvMtxpFcwy2s84bHDj2ZFUY,16.24830120661326
6qwYjs5vCSEKaTMBbHinnW8fvdGj1r8cpzPoAV1EHKsw,16.24830120661326
SoLiDJGk4WkdinyLiRWjkFbgLUhjL3idGJK8H1rUWqH,16.24830120661326
9hQqNe3DQTiwhspatewA8EXhz12e6sq5UJVJ2qNRwnTf,16.24830120661326
dxa6QFqLcByyHykLCAW5tv1VYNVQFV3v6oovM2h8inH,16.2393925059145
sbidYi7fbif6qNsMpwBKvyF5DKcLCbjaegpADsKqNux,15.834343977691551
DKSy9mQn63487j7oXHxqmykLEYUA3akTHm1QNPgDLGN8,15.834343977691551
scs1NCSTafrUX6RBx113B9YDCepo1QdEzU8WwEkf25i,15.834343977691551
3NK19Y8KQyr3HmJVEmn1gjaXDDDpsVVQtBWmHkwZXkAm,13.52314553760811
EbiVZXqkj7RmWn98i3oPWcMpB2Z7VjmKV3djzc8q1tma,12.476649250079015
EvnRmnMrd69kFdbLMxWkTn1icZ7DCceRhvmb2SJXqDo4,11.090354888959125
GREEDkgav1ox1jYyd9Anv6exLqKV2vYnxMw5prGwmNKc,11.090354888959125
LunaowJnt875WWoqDkhHhE93SNYHa6tfFNVn1rqc57c,11.090354888959125
HnwMGBAw5PxaX56eSYc969MorEy2NzEMPLkmBkdnJmeq,11.090354888959125
ADjyeNzWd8yhEjCVyAqT87eqoyGRbimERQsNhFQcXjop,11.090354888959125
DZVySotZvrvJyVAcgjFtUDm93zoCaq9wBruMAUz83CWW,10.961277846683982
A9mvukTd77EbRoBX4ydSCFQHdu5bsRFkNXTTRstA8FAC,10.961277846683982
5ejbTALcBsKQ7Cj1iSuu2mY5jqbYHqh9gF5ERXLiYj1z,10.961277846683982
BSGMRbK97DcgLe4u4kfNQnmTVZGVnwdtKQBJqWRBTZxU,10.961277846683982
8augxYLUge2iWmitQMwbcBL5VQEpsM6aJdRofhwpnzyw,10.961277846683982
Crg1X8FftV44NmwfFvgREjanBQmyyS7NEu6duLU7Cyy6,10.961277846683982
3KiDz3wuZrJfsgKt5KEvRb1WPpbci1PWj78aPVF5ei3F,10.961277846683982
DP9iBgK9c7tJYb83KhxQMFNc1LXYu7nE7EhWpEzQnjmg,10.961277846683982
BR1aTt4ZZUCwWJDkSYf1hqkYJjo7Mb7Ar8iVTkeSwUB8,10.961277846683982
EQhTjikb1L2jvxsCaSW2o2TuRXh4Do6HzBEWCxpeM44W,10.961277846683982
2Le6TjeEescF87qDA8Ftdz6U8Kq6SNVwoLJLhzBCHUr5,10.83220080440884
MutT1jxCXbRWJXpXoJK259gLrNfzDezdxS3BSkQAmv1,10.83220080440884
mrgn28BhocwdAUEenen3Sw2MR9cPKDpLkDvzDdR7DBD,10.83220080440884
