entity_id,wallet_count,unique_accounts,execution_shape_count,shape_entropy,slot_count,atomic_arb_count,pga_slot_count,avg_top_entity_share,toxic_pool_interactions,early_rate,total_txs,validator_mev_slot_ratio,validator_early_ratio,validator_unique_entities,avg_slots_seen,best_entity_rank,validator_total_txs,validator_mev_txs,validator_mev_tx_ratio
BXAxLMMMUNYfC1z166VjWHR3WjTmqzLxB837o5ghmRtH,1,2,1,-0.0,15,0.0,0.0,0.5846846399456275,30,0,16,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
Ba1o5NWMdCDVVwoRNHLmuxHd2ypcZRWi18em5eavEgoE,1,7,1,-0.0,1,1.0,0.0,0.5289993626513703,15,0,1,0.9333333333333333,0.0031034530831958403,496.4,1.0,491,6156.75,6099.75,0.9902
BeRtYZnaaZLFwYQRPaZcxuuHBmyFBSGP32C8Ls5xnrZP,2,4,1,-0.0,14,0.0,2.0,0.5832753236275038,52,0,30,0.9333333333333333,0.0031034530831958403,496.4,2.8,1,6156.75,6099.75,0.9902
BeaCHioStqCEFDFxKwAEzyrUPYxqnBPhJ98gDKeEiTPb,1,2,1,-0.0,11,0.0,1.0,0.5850094024378601,26,0,14,0.9333333333333333,0.0031034530831958403,496.4,2.75,1,6156.75,6099.75,0.9902
BfgMdL4FaNHp5zZpD7WMYG5sZUrCWQPEjXDwWS7M5q3F,1,2,1,-0.0,15,0.0,0.0,0.5715190920583629,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
BiU1DNow77wGwSXW1bLmkcQe2cuySpkbz7xtbitD9Fmk,1,2,1,-0.0,14,0.0,0.0,0.5631653484489122,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,2.8,1,6156.75,6099.75,0.9902
Bk2qYNMa4hUkbutBcb4JHhMqAbGEFZq4KjicpMCwC2wn,1,3,1,-0.0,3,0.0,0.0,0.6887694352757904,9,0,3,0.9333333333333333,0.0031034530831958403,496.4,1.5,472,6156.75,6099.75,0.9902
BoNKmNCGvoHS4CkKvYRnF21iEpUP827pZjhFGdA4t5as,1,2,1,-0.0,15,0.0,0.0,0.5715190920583629,30,0,16,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
BuoZ7q6faiJNTN24r7Kcj8dp96axs5XPEKXmWGsh2pDE,1,2,1,-0.0,16,0.0,0.0,0.587083008849862,30,0,16,0.9333333333333333,0.0031034530831958403,496.4,3.2,1,6156.75,6099.75,0.9902
BuonuQoAR74GoMwCFhxKWVWWSGGt2wfbNmQ3cizaJ97G,1,2,1,-0.0,7,0.0,0.0,0.5921316900684769,16,0,8,0.9333333333333333,0.0031034530831958403,496.4,1.75,378,6156.75,6099.75,0.9902
By8MseMKtZQQaQjMHJiyetmc5AC8RZZv8C2ss33ktrHt,1,2,1,-0.0,14,0.0,0.0,0.5631653484489122,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,2.8,1,6156.75,6099.75,0.9902
ByszyWdqC3rVMWy8f6jwK5cmwkpwYdwsr7UL58xS5vnm,1,2,1,-0.0,15,0.0,0.0,0.5715190920583629,28,0,15,0.9333333333333333,0.0031034530831958403,496.4,3.0,1,6156.75,6099.75,0.9902
