entity_id,wallet_count,unique_accounts,execution_shape_count,shape_entropy,slot_count,atomic_arb_count,pga_slot_count,avg_top_entity_share,toxic_pool_interactions,early_rate,total_txs,validator_mev_slot_ratio,validator_early_ratio,validator_unique_entities,avg_slots_seen,best_entity_rank,validator_total_txs,validator_mev_txs,validator_mev_tx_ratio,pca_1,pca_2,pca_3,risk_score,anomaly_score,risk_rank
Ha1iade1AH3B12K9SccfWoPdFtQKKQsj2ZyWwxcjqJJU,1,2,1,-0.0,14,0.0,0.0,0.5631653484489122,26,0,16,0.9333333333333332,0.0031034530831958,496.4,2.8,1,6156.75,6099.75,0.9902,-0.17354154477792702,0.25352760019096304,-0.5414894386226866,-1,-0.2620833712768507,175.5
E99w1XfS4UNM1xUKXWEuDmj8Mduy7u65jm2NCULTspSV,1,2,1,-0.0,14,0.0,0.0,0.5631653484489122,26,0,16,0.9333333333333332,0.0031034530831958,496.4,2.8,1,6156.75,6099.75,0.9902,-0.17354154477792702,0.25352760019096304,-0.5414894386226866,-1,-0.2620833712768507,175.5
4kL5QD8ir5CvkuvCUnQhBDuWhq3Xfnz3UfQLt4CqPQZQ,1,2,1,-0.0,14,0.0,0.0,0.5832753236275038,28,0,16,0.9333333333333332,0.0031034530831958,496.4,2.8,1,6156.75,6099.75,0.9902,-0.1517671834764545,-0.04505378391307938,-0.044951651510056895,-1,-0.26249715868306484,177.0
6xUK9Nbonr4eoJNtHGoUEMmYKoPz5mipKzyDBv6deX4d,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
7CR6whiYULVf1Knj4J5PxUS37opdk8UAx2WnDzBQKiVe,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
parayLyZvwnGjDT2pGqrVn8UDxmNcdNQCE8uPRWMeRz,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
HzF7Kov41YJvKNkVEepUByEP5NKG45NJTc63JUDxT7tE,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
78sEMVmeecStjxWU7XMJMH8bMRBW9vSiEAhAjtZbt3fW,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
Ninja1spj6n9t5hVYgF3PdnYz2PLnkt7rvaw3firmjs,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
AS4i8EXUZnPbmNT5ZXmoTEbrXQrbFoReiWwwFB43Ds5z,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
ACTGYsH7bHbaSP7z9N86oLPHBThAELbGfTboc1VoFeZz,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
UNrgBLmc8JT6A3dxXY9DWeHvDezt2DZQbhg1KPQfqEL,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
REA1zKzM5WjDEcpB27Zx2Rk16foNPtLGTETy93LLgNw,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
dzBhD4wikyy7xqwiJvT49gdrKqWVjfs9M6cTssmRX8Y,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
LiFiDJwJjW98MB8wxcnXpafKYsuz1hwpUkuszkERiX6,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
bkpk9KVsDRfrArzzmkJ9mPEvbXfQxczzQYR3QMGiR8Z,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
MicoB9cA9R6jsicdhzWFjwd9HMkV8FA4o3WxYU6Z2yz,1,2,1,-0.0,13,0.0,0.0,0.5571760951737792,28,0,15,0.9333333333333332,0.0031034530831958,496.4,2.6,1,6156.75,6099.75,0.9902,-0.18862580351895858,-0.1310283371862763,-0.7643204207797947,-1,-0.2636780107895963,188.5
